tag,seed,steps,group,phase,max_abs,min_abs_nonzero,bf16_zeroed_fraction,bf16_overflow,nan_inf
L10BF16,1234,1,qkv,raw_grad,0.00384521484375,7.389644451905042e-12,0.0,0,False
L10BF16,1234,1,gate_up,raw_grad,0.00109100341796875,4.8203219193965197e-11,0.0,0,False
L10BF16,1234,1,o_down,raw_grad,0.0098876953125,2.8421709430404007e-12,0.0,0,False
L10BF16,1234,1,qkv,corrected_grad,0.00616455078125,5.314859663485549e-12,0.0,0,False
L10BF16,1234,1,gate_up,corrected_grad,0.00787353515625,6.461844948013606e-17,0.0,0,False
L10BF16,2025,1,qkv,raw_grad,0.00384521484375,7.389644451905042e-12,0.0,0,False
L10BF16,2025,1,gate_up,raw_grad,0.00109100341796875,4.8203219193965197e-11,0.0,0,False
L10BF16,2025,1,o_down,raw_grad,0.0098876953125,2.8421709430404007e-12,0.0,0,False
L10BF16,2025,1,qkv,corrected_grad,0.00616455078125,5.314859663485549e-12,0.0,0,False
L10BF16,2025,1,gate_up,corrected_grad,0.00787353515625,6.461844948013606e-17,0.0,0,False
L10BF16,7,1,qkv,raw_grad,0.00384521484375,7.389644451905042e-12,0.0,0,False
L10BF16,7,1,gate_up,raw_grad,0.00109100341796875,4.8203219193965197e-11,0.0,0,False
L10BF16,7,1,o_down,raw_grad,0.0098876953125,2.8421709430404007e-12,0.0,0,False
L10BF16,7,1,qkv,corrected_grad,0.00616455078125,5.314859663485549e-12,0.0,0,False
L10BF16,7,1,gate_up,corrected_grad,0.00787353515625,6.461844948013606e-17,0.0,0,False
L10BF16,1234,10,qkv,raw_grad,0.0244140625,3.637978807091713e-12,0.0,0,False
L10BF16,1234,10,gate_up,raw_grad,0.0033416748046875,9.947598300641403e-12,0.0,0,False
L10BF16,1234,10,o_down,raw_grad,0.04296875,3.659295089164516e-13,0.0,0,False
L10BF16,1234,10,qkv,corrected_grad,0.01104736328125,4.5297099404706387e-13,0.0,0,False
L10BF16,1234,10,gate_up,corrected_grad,0.015869140625,3.8510861166685117e-16,0.0,0,False
L10BF16,2025,10,qkv,raw_grad,0.0244140625,3.637978807091713e-12,0.0,0,False
L10BF16,2025,10,gate_up,raw_grad,0.0033416748046875,9.947598300641403e-12,0.0,0,False
L10BF16,2025,10,o_down,raw_grad,0.04296875,3.659295089164516e-13,0.0,0,False
L10BF16,2025,10,qkv,corrected_grad,0.01104736328125,4.5297099404706387e-13,0.0,0,False
L10BF16,2025,10,gate_up,corrected_grad,0.015869140625,3.8510861166685117e-16,0.0,0,False
