proj,layer,seed,optimizer,step,loss_plaintext,loss_O1A,loss_O1C,loss_absdiff_O1A,loss_absdiff_O1C,gradA_relation_err,O1A_A_update_relerr,O1A_B_update_relerr,O1C_A_update_relerr,O1C_B_update_relerr,O1A_dW_relerr,O1A_dW_cos,O1C_dW_relerr,O1C_dW_cos,O1A_optstate_relerr,O1C_optstate_relerr,T_in_orthogonal,T_out_orthogonal,A_gpu_adamw_safe,B_gpu_adamw_safe,O1C_A_in_tdx,O1C_B_in_tdx,nan_inf
q_proj,0,1234,momentum,1,5.401263537542576,5.401263537542576,5.401263537542576,0.0,0.0,1.7011374070955545e-15,0.040466353362409106,1.0720765964317061e-16,8.888064292739544e-17,1.0720765964317061e-16,0.04994682448324712,0.9987538209604853,1.7306181770846213e-16,0.9999999999999902,279.7602542183126,1.8372121917141598e-15,False,True,False,False,True,False,False
q_proj,0,1234,momentum,10,5.396964516705252,5.332842533081053,5.396964516705252,0.06412198362419819,0.0,2.4240916412781153,0.10389435718792715,0.018220959024432784,2.321901247218902e-16,2.3011452438459544e-16,0.11145650170737517,0.9938389752813354,3.482770160025727e-16,1.0000000000000047,24.86386864617949,1.5039260990182329e-15,False,True,False,False,True,False,False
q_proj,0,1234,momentum,50,5.358937902568071,3.3404059326332907,5.358937902568071,2.0185319699347803,0.0,10.85070188669232,0.6754087318284169,0.4046207213555389,5.049433606836945e-16,4.812840128337613e-16,0.7821751927133805,0.7758820508205028,7.129432767996145e-16,1.0000000000000049,11.921957211933316,1.5073198762977115e-15,False,True,False,False,True,False,False
q_proj,1,1234,momentum,1,1.7934435942295566,1.7934435942295566,1.7934435942295566,0.0,0.0,1.466452090288868e-15,0.00027181146447053913,1.0611515222994992e-16,9.498671963540767e-17,1.0611515222994992e-16,0.0002763612076207993,0.9999999618191285,1.757129858567593e-16,0.9999999999999936,2.6052185959351952,1.5093180651086472e-15,False,True,False,False,True,False,False
q_proj,1,1234,momentum,10,1.7918101417961494,1.7879219319980426,1.7918101417961494,0.0038882097981067787,0.0,0.1349820609283249,0.010799027696593964,0.00013875688384578304,2.2191125789783802e-16,2.255709461857021e-16,0.010831137085818248,0.9999413415199843,3.375442785461772e-16,0.9999999999999933,2.4495008685497575,9.338109647835799e-16,False,True,False,False,True,False,False
q_proj,1,1234,momentum,50,1.7784860065944639,1.762354077870859,1.7784860065944639,0.016131928723604805,0.0,1.1412958067215953,0.06756673872617809,0.016199627208278285,4.617397507111956e-16,4.910865259693111e-16,0.06439751662630029,0.9979343991045642,6.831108363579841e-16,0.9999999999999973,1.285708836139637,1.2150401735374999e-15,False,True,False,False,True,False,False
q_proj,2,1234,momentum,1,1.6067698337760865,1.6067698337760865,1.6067698337760865,0.0,0.0,1.551251131274181e-15,8.702008998792014e-05,1.0382285601690798e-16,9.335320585200907e-17,1.0382285601690798e-16,8.953440738124641e-05,0.9999999959922093,1.7219013509432964e-16,1.0000000000000027,0.851772978637837,1.5665523778191017e-15,False,True,False,False,True,False,False
q_proj,2,1234,momentum,10,1.6052402932980372,1.6045671105008457,1.6052402932980372,0.0006731827971915294,0.0,0.020760542007076322,0.003550942453000742,2.1319991904753135e-05,2.19819794961324e-16,2.2029294982377213e-16,0.0036420111716175562,0.9999933680790718,3.3170328721188053e-16,1.0000000000000095,0.8447889802476669,8.914569226805066e-16,False,True,False,False,True,False,False
q_proj,2,1234,momentum,50,1.5933644705488237,1.5896687055015017,1.5933644705488237,0.0036957650473219417,0.0,0.21003492352206085,0.02900089183464936,0.0029363838921714204,4.767616917793559e-16,4.7038254789534405e-16,0.028811139748860497,0.9995851155322167,6.774351128340607e-16,1.0000000000000138,0.7637040043644358,1.0379750463106591e-15,False,True,False,False,True,False,False
q_proj,3,1234,momentum,1,1.4743138888317637,1.4743138888317635,1.4743138888317635,2.220446049250313e-16,2.220446049250313e-16,1.774645274701508e-15,8.898900819934383e-05,1.0280379379643962e-16,9.228257335069574e-17,1.0280379379643962e-16,9.263916155390835e-05,0.9999999957092198,1.7168345828987403e-16,0.9999999999999931,0.95432947749813,1.8021399579183887e-15,False,True,False,False,True,False,False
q_proj,3,1234,momentum,10,1.472964740120634,1.47226371559314,1.472964740120634,0.0007010245274940985,0.0,0.02909957779731772,0.003621646293656854,3.084285763600173e-05,2.2084561961613851e-16,2.2368828803100067e-16,0.003763095975765752,0.9999929204118537,3.3693931432094526e-16,0.9999999999999959,0.9414580008856955,9.110666462803732e-16,False,True,False,False,True,False,False
q_proj,3,1234,momentum,50,1.4623181249908337,1.458651454583944,1.462318124990834,0.003666670406889727,2.220446049250313e-16,0.30173580572389685,0.02871745535443527,0.00406032794932318,4.726499742186432e-16,4.821845960970557e-16,0.0294500612353633,0.9995668080842671,6.837721135602253e-16,1.0000000000000036,0.8060483060513687,1.0284545986437713e-15,False,True,False,False,True,False,False
q_proj,4,1234,momentum,1,1.5181219092699745,1.5181219092699745,1.5181219092699745,0.0,0.0,1.7413212537382782e-15,0.00014658459440091085,1.050015568074544e-16,9.448836890511803e-17,1.050015568074544e-16,0.0001599586123107385,0.9999999872066372,1.7376440082659418e-16,1.0000000000000129,1.5494991586928,1.784875426441138e-15,False,True,False,False,True,False,False
