seed,metric,g1,g2,difference_g2_minus_g1,ci95_low,ci95_high
7,corpus_bleu,63.93412043235396,64.62955962184158,0.6954391894876224,-0.4212576739762038,1.8046269695416166
7,corpus_chrf,72.41341651669777,72.15772619771829,-0.25569031897947525,-1.0298103100554428,0.5454337323820851
7,mean_sentence_bleu,62.83417833399691,62.72143865303203,-0.11273968096487863,-1.219364559344294,0.9687491683966828
7,mean_sentence_chrf,72.63006497945653,72.20900982063263,-0.4210551588239042,-1.1505194101429188,0.2996988623881692
7,rouge_l,61.31097758098251,60.81336745671143,-0.49761012427107687,-1.4484874706644981,0.45587522711167916
7,output_length,33.23,32.112,-1.117999999999995,-1.6360499999999998,-0.604
7,invalid_rate,0.0,0.0,0.0,0.0,0.0
7,repetition_bigram_fraction,3.0526000000000004,2.9442,-0.1084000000000005,-0.4118049999999999,0.19040000000000004
7,repeated_output_rate,50.6,53.4,2.799999999999997,-1.8,7.4
1234,corpus_bleu,63.98207906355511,65.88447189569074,1.9023928321356252,0.650117087920486,2.941914057263817
1234,corpus_chrf,72.78274834641049,70.55866631653622,-2.2240820298742676,-3.00599655860106,-1.423106042342006
1234,mean_sentence_bleu,62.92592355825709,63.33924515918702,0.4133216009299332,-0.6686769849870395,1.4626644329664316
1234,mean_sentence_chrf,72.94143440163141,70.7953487923461,-2.146085609285308,-2.8317601602594804,-1.45558756400973
1234,rouge_l,61.403031405136545,61.9561007374207,0.5530693322841529,-0.2875597955440344,1.4069691785725698
1234,output_length,33.318,30.388,-2.929999999999996,-3.446,-2.406
1234,invalid_rate,0.0,0.0,0.0,0.0,0.0
1234,repetition_bigram_fraction,3.4688000000000003,2.7912000000000003,-0.6776,-1.017005,-0.34178500000000017
1234,repeated_output_rate,52.4,45.2,-7.199999999999996,-11.6,-2.6
2025,corpus_bleu,64.31178961431235,63.162311544034566,-1.1494780702777803,-2.476003365740991,0.1709338272648047
2025,corpus_chrf,72.425076437311,71.2552595816497,-1.1698168556613098,-2.0547572640163594,-0.26387251400772843
2025,mean_sentence_bleu,63.17218989570653,61.63109721128513,-1.5410926844214003,-2.756531547331104,-0.3447865167822865
2025,mean_sentence_chrf,72.55476213588123,71.38624615817596,-1.168515977705269,-1.9390751454373016,-0.3794781417915323
2025,rouge_l,61.57693265056492,60.57587196269399,-1.0010606878709325,-2.065865827488765,0.0734950312999551
2025,output_length,33.058,32.74,-0.31799999999999784,-0.83005,0.19
2025,invalid_rate,0.0,0.0,0.0,0.0,0.0
2025,repetition_bigram_fraction,3.3731999999999998,4.2062,0.8330000000000002,0.4554,1.2070349999999996
2025,repeated_output_rate,52.6,60.0,7.399999999999999,2.6,12.0
