section,key,metric,value
pad_linkability_proxy,fixed_mask_no_pad,mean_pairwise_cosine,1.0000000000000002
pad_linkability_proxy,fixed_mask_no_pad,max_pairwise_cosine,1.0000000000000004
pad_linkability_proxy,fixed_mask_no_pad,min_pairwise_cosine,1.0000000000000004
pad_linkability_proxy,fixed_mask_no_pad,mean_pairwise_l2,0.0
pad_linkability_proxy,fixed_mask_no_pad,max_pairwise_l2,0.0
pad_linkability_proxy,fixed_mask_no_pad,min_pairwise_l2,0.0
pad_linkability_proxy,fresh_mask_no_pad,mean_pairwise_cosine,0.0035630250427570592
pad_linkability_proxy,fresh_mask_no_pad,max_pairwise_cosine,0.0922854535517891
pad_linkability_proxy,fresh_mask_no_pad,min_pairwise_cosine,-0.09695156344155569
pad_linkability_proxy,fresh_mask_no_pad,mean_pairwise_l2,46.79129703673439
pad_linkability_proxy,fresh_mask_no_pad,max_pairwise_l2,49.10167388782658
pad_linkability_proxy,fresh_mask_no_pad,min_pairwise_l2,44.66601595847826
pad_linkability_proxy,fixed_mask_fresh_pad,mean_pairwise_cosine,0.514901226573442
pad_linkability_proxy,fixed_mask_fresh_pad,max_pairwise_cosine,0.5749966841829942
pad_linkability_proxy,fixed_mask_fresh_pad,min_pairwise_cosine,0.45367148888010317
pad_linkability_proxy,fixed_mask_fresh_pad,mean_pairwise_l2,45.295980278078666
pad_linkability_proxy,fixed_mask_fresh_pad,max_pairwise_l2,48.10576112997627
pad_linkability_proxy,fixed_mask_fresh_pad,min_pairwise_l2,41.59382985390949
pad_linkability_proxy,fresh_mask_fresh_pad,mean_pairwise_cosine,0.000533235893720137
pad_linkability_proxy,fresh_mask_fresh_pad,max_pairwise_cosine,0.11674457785094955
pad_linkability_proxy,fresh_mask_fresh_pad,min_pairwise_cosine,-0.09877313182415863
pad_linkability_proxy,fresh_mask_fresh_pad,mean_pairwise_l2,65.14491528561877
pad_linkability_proxy,fresh_mask_fresh_pad,max_pairwise_l2,69.04063319842828
pad_linkability_proxy,fresh_mask_fresh_pad,min_pairwise_l2,61.11319227952752
mask_freshness_audit,input_mask,num_generated,32
mask_freshness_audit,input_mask,num_unique_fingerprints,32
mask_freshness_audit,input_mask,unexpected_reuse_count,0
mask_freshness_audit,input_mask,condition_number_mean,1.0000007444868262
mask_freshness_audit,input_mask,condition_number_max,1.0000008470413746
mask_freshness_audit,input_mask,condition_number_min,1.0000006552816887
mask_freshness_audit,output_mask,num_generated,32
mask_freshness_audit,output_mask,num_unique_fingerprints,32
mask_freshness_audit,output_mask,unexpected_reuse_count,0
mask_freshness_audit,output_mask,condition_number_mean,1.0000007316485224
mask_freshness_audit,output_mask,condition_number_max,1.0000009219084314
mask_freshness_audit,output_mask,condition_number_min,1.0000006036581808
mask_freshness_audit,pad,num_generated,32
mask_freshness_audit,pad,num_unique_fingerprints,32
mask_freshness_audit,pad,unexpected_reuse_count,0
mask_freshness_audit,pad,condition_number_mean,2.6337526721014743
mask_freshness_audit,pad,condition_number_max,3.0259352368682766
mask_freshness_audit,pad,condition_number_min,2.282432876817132
mask_freshness_audit,kv_cache_mask,num_generated,64
mask_freshness_audit,kv_cache_mask,num_unique_fingerprints,32
mask_freshness_audit,kv_cache_mask,unexpected_reuse_count,0
mask_freshness_audit,kv_cache_mask,condition_number_mean,1.0000007247670815
mask_freshness_audit,kv_cache_mask,condition_number_max,1.0000008032550771
mask_freshness_audit,kv_cache_mask,condition_number_min,1.00000060352479
mask_freshness_audit,encoder_memory_mask,num_generated,64
mask_freshness_audit,encoder_memory_mask,num_unique_fingerprints,32
mask_freshness_audit,encoder_memory_mask,unexpected_reuse_count,0
mask_freshness_audit,encoder_memory_mask,condition_number_mean,1.0000007341645651
mask_freshness_audit,encoder_memory_mask,condition_number_max,1.0000008676358576
mask_freshness_audit,encoder_memory_mask,condition_number_min,1.0000006374986816
boundary_leakage_accounting,obfuscated_input,visibility,gpu_visible
boundary_leakage_accounting,transformed_linear_weight,visibility,gpu_visible
boundary_leakage_accounting,transformed_lora_adapter,visibility,gpu_visible
boundary_leakage_accounting,compensation_terms,visibility,gpu_visible
boundary_leakage_accounting,obfuscated_q,visibility,gpu_visible
boundary_leakage_accounting,obfuscated_k,visibility,gpu_visible
boundary_leakage_accounting,obfuscated_v,visibility,gpu_visible
